key,existing_source,proposed_product_path,action,keep_existing_article
pms,https://www.horecagroup.sk/pms-hotelovy-rezervacny-system/,/pms-hotelovy-rezervacny-system/,update_existing_after_id_match,False
booking,https://www.horecagroup.sk/booking-engine/,/booking-engine/,update_existing_after_id_match,False
channel,https://www.horecagroup.sk/channel-manager/,/channel-manager/,update_existing_after_id_match,False
revenue,https://www.horecagroup.sk/sofistikovany-revenue-modul-ellipse-revpro/,/sofistikovany-revenue-modul-ellipse-revpro/,update_existing_after_id_match,False
ella,https://www.horecagroup.sk/virtualna-recepcna-ella/,/virtualna-recepcna-ella/,update_existing_after_id_match,False
marketing,https://www.horecagroup.sk/marketingovy-modul-priamo-v-hotelovom-systeme-ellipse-prinasa-unikatnu-vizualizaciu-vasich-dat-z-online-kampani/,/marketingova-analytika/,create_draft,True
services,https://www.horecagroup.sk/casove-rezervacie-sluzieb/,/casove-rezervacie-sluzieb/,update_existing_after_id_match,False
courses,https://www.horecagroup.sk/rezervacie-kurzov-jogy-podujati-a-skupinovych-cviceni/,/rezervacie-kurzov-jogy-podujati-a-skupinovych-cviceni/,update_existing_after_id_match,False
pickup,https://www.horecagroup.sk/pickup-dashboard-a-vynosovy-manazment/,/pickup-dashboard-a-vynosovy-manazment/,update_existing_after_id_match,False
owners,https://www.horecagroup.sk/majitelsky-modul-a-aplikacie-na-mieru/,/majitelsky-modul-a-aplikacie-na-mieru/,update_existing_after_id_match,False
gastro,https://www.horecagroup.sk/restauracia-gastronomia-skladove-hospodarstvo/,/restauracia-gastronomia-skladove-hospodarstvo/,update_existing_after_id_match,False
foodie,https://www.horecagroup.sk/novy-modul-foodie-room-service-qr-kody-v-restauracii/,/foodie-qr-objednavky/,create_draft,True
events,https://www.horecagroup.sk/eventovy-modul-planovanie-skoleni-a-cenove-ponuky/,/eventovy-modul-planovanie-skoleni-a-cenove-ponuky/,update_existing_after_id_match,False
crm,https://www.horecagroup.sk/vernostny-system-a-kreditne-cerpanie-sluzieb/,/vernostny-system-a-kreditne-cerpanie-sluzieb/,update_existing_after_id_match,False
websites,https://www.horecagroup.sk/moderne-webove-stranky/,/moderne-webove-stranky/,update_existing_after_id_match,False
locks,https://www.horecagroup.sk/inteligentne-zamkove-a-pristupove-systemy-s-moznostou-pristupu-na-pin-kod/,/inteligentne-zamkove-a-pristupove-systemy-s-moznostou-pristupu-na-pin-kod/,update_existing_after_id_match,False
accounting,https://www.horecagroup.sk/automaticke-uctovanie-vynosov-z-hoteloveho-systemu-ellipse-ake-mame-moznosti-co-vsetko-je-mozne-prenasat-ake-typy-prenosov-system-ponuka/,/prepojenie-uctovnictva/,create_draft,True
hardware,https://www.horecagroup.sk/smart-pokladnicne-riesenia-pre-vas-biznis/,/smart-pokladnicne-riesenia-pre-vas-biznis/,update_existing_after_id_match,False
checkin,https://www.horecagroup.sk/online-check-in/,/online-check-in/,update_existing_after_id_match,False
guest,https://www.horecagroup.sk/on-board/,/on-board/,update_existing_after_id_match,False
housekeeping,https://www.horecagroup.sk/roomie/,/roomie/,update_existing_after_id_match,False
timi,https://www.horecagroup.sk/timi-booking-engine-pre-rezervacie-sluzieb/,/timi-booking-engine-pre-rezervacie-sluzieb/,update_existing_after_id_match,False
reviews,https://www.horecagroup.sk/hodnotenia-hosti/,/hodnotenia-hosti/,update_existing_after_id_match,False
mailing,https://www.horecagroup.sk/automaticky-mailing/,/automaticky-mailing/,update_existing_after_id_match,False
payments,https://www.horecagroup.sk/online-platby/,/online-platby/,update_existing_after_id_match,False
api,https://www.horecagroup.sk/otvorene-api/,/otvorene-api/,update_existing_after_id_match,False
team,,/ellipse-team/,create_draft,False
pos,,/ellipse-pos/,create_draft,False
mcp,https://www.horecagroup.sk/napojte-si-ellipse-data-cez-mcp-konektor-do-sveta-ai-a-vytazte-maximum-z-analyz-a-brainstormingu/,/ellipse-mcp/,create_draft,True
messaging,,/centralny-hub-sprav/,create_draft,False
stock,,/sklady-a-kalkulacie/,create_draft,False
vouchers,,/darcekove-poukazy/,create_draft,False
access,,/vstupy-a-akvaparky/,create_draft,False
